X,Y,Z,cube error,X cube error,Y cube error,Z cube error,,X estimated,Y estimated,Z estimated,,u,v,pixel error,u pixel error,v pixel error,,u estimated,v estimated
30.1,0.0,0.0,2.434119960190182,2.433016632480154,0.07328060228454092,0.0, ,32.533016632480155,-0.07328060228454092,0.0, ,1208.7764626818641,284.93210388999285,10.845097577278153,[-8.9483977],[6.12717881], ,1217.7248603769506,278.804925081499
60.2,0.0,0.0,3.759087340934346,3.449665982520756,1.4934999985979118,0.0, ,63.64966598252076,-1.4934999985979118,0.0, ,1104.2357252080856,353.81922804043415,10.638851550654723,[-10.62599385],[-0.52289302], ,1114.8617190536775,354.34212106038336
90.3,0.0,0.0,5.656213060539423,5.306995431681841,1.9566669809461246,0.0, ,95.60699543168184,-1.9566669809461246,0.0, ,1012.8406424709337,419.1783003649855,13.993934050334316,[-13.99260622],[0.1927732], ,1026.8332486863198,418.98552716600716
120.3,0.0,0.0,6.933932089240462,6.345940874540517,2.7943601476965227,0.0, ,126.64594087454051,-2.7943601476965227,0.0, ,936.4568710287117,471.94099494662987,14.698265603123009,[-14.42543247],[-2.81884902], ,950.8823034982196,474.7598439684146
150.4,0.0,0.0,9.206111208410178,8.674912200599806,3.081944498770241,0.0, ,159.0749122005998,-3.081944498770241,0.0, ,867.0133140647407,522.5432185310716,17.29293127602188,[-17.25571936],[-1.13385246], ,884.2690334273577,523.6770709887661
180.5,0.0,0.0,11.226434824546574,10.808773096529109,3.0336880224473646,0.0, ,191.3087730965291,-3.0336880224473646,0.0, ,806.5531804760369,568.002334391178,19.04078527739435,[-19.00235065],[1.20920382], ,825.5555311228089,566.793130571733
30.1,30.1,0.0,3.847522927160261,3.034947645195011,2.3648521023415228,0.0, ,33.13494764519501,27.73514789765848,0.0, ,1204.3657915005183,457.7981390371285,13.648740887705028,[-11.04196057],[-8.02267004], ,1215.4077520704698,465.8208090784145
60.2,30.1,0.0,5.288640114198287,4.4832658227779945,2.8053594813887983,0.0, ,64.683265822778,27.294640518611203,0.0, ,1098.1001685809483,519.6193975098416,15.777541948367444,[-13.76078474],[-7.71826621], ,1111.860953317649,527.3376637246516
90.3,30.1,0.0,7.5930352169095165,6.728266025006505,3.519178895988567,0.0, ,97.0282660250065,26.580821104011434,0.0, ,1005.7309888172247,571.9859014225506,19.33304489913769,[-17.63291592],[-7.92760376], ,1023.3639047349112,579.9135051785332
120.3,30.1,0.0,9.183184877738375,8.290293507490546,3.949926335817274,0.0, ,128.59029350749054,26.150073664182727,0.0, ,928.3110113663847,617.1698877563098,20.438027077851025,[-18.78383369],[-8.05484592], ,947.0948450558792,625.2247336741647
150.4,30.1,0.0,11.141737884284057,10.342908287077819,4.142773376276757,0.0, ,160.74290828707782,25.957226623723244,0.0, ,859.7829313624532,658.2807423561464,21.536207138623112,[-20.48524455],[-6.64552281], ,880.268175916926,664.9262651693736
180.5,30.1,0.0,12.771204570090042,12.12367028160864,4.015007481179616,0.0, ,192.62367028160864,26.084992518820385,0.0, ,800.2113201413075,695.3764708559842,21.680908301004123,[-21.20602481],[-4.51290334], ,821.4173449497728,699.889374198546
30.1,60.2,0.0,5.427506923594367,4.470191971916016,3.078183740435648,0.0, ,34.57019197191602,57.121816259564355,0.0, ,1196.7060975789802,644.3648124424371,20.225533725969726,[-16.34186103],[-11.91703792], ,1213.0479586059935,656.2818503577131
60.2,60.2,0.0,6.77250950187275,5.907214937514013,3.312355149280947,0.0, ,66.10721493751402,56.887644850719056,0.0, ,1090.6068567766717,692.4146343773206,21.19265152161129,[-18.20242027],[-10.85358811], ,1108.8092770459714,703.2682224870769
90.3,60.2,0.0,9.714805799605745,8.974603949200613,3.719399908459181,0.0, ,99.27460394920061,56.48060009154082,0.0, ,996.2332009663762,734.3031037554861,25.288783613967446,[-23.60681054],[-9.06868639], ,1019.8400115047283,743.371790147705
120.3,60.2,0.0,10.953521873498014,10.307053989831033,3.70732780907052,0.0, ,130.60705398983103,56.49267219092948,0.0, ,919.7755047459992,770.1937319962469,24.70712069236457,[-23.47638223],[-7.70073309], ,943.2518869793358,777.8944650874108
150.4,60.2,0.0,13.782826458475954,13.159486294022827,4.0980758487234255,0.0, ,163.55948629402283,56.10192415127658,0.0, ,850.086324364073,801.0554887796002,27.06256282362242,[-26.12611349],[-7.05751377], ,876.2124378507413,808.113002553178
180.5,60.2,0.0,14.596140538696407,14.126637970391442,3.6722497571477106,0.0, ,194.62663797039144,56.52775024285229,0.0, ,792.4375770925953,830.0133738308671,25.227689714105225,[-24.78822664],[-4.68829907], ,817.2258037369679,834.701672897521
30.1,90.3,0.0,5.039813012281034,4.569269899914666,2.126379030297997,0.0, ,34.66926989991467,88.173620969702,0.0, ,1193.7392873669294,841.8343574999151,18.899148047849287,[-16.90500215],[-8.4497751], ,1210.6442895162027,850.2841326015134
60.2,90.3,0.0,7.816670075384457,7.406073356640931,2.500081699357878,0.0, ,67.60607335664093,87.79991830064212,0.0, ,1082.6714422287585,874.602865337255,24.25732257313036,[-23.03394131],[-7.6062636], ,1105.7053835434263,882.2091289357204
90.3,90.3,0.0,9.715552912907448,9.382739207524352,2.5211452491059845,0.0, ,99.68273920752435,87.77885475089401,0.0, ,991.329319730453,903.4008917637617,25.647387017447958,[-24.93095253],[-6.01964007], ,1016.2602722654269,909.4205318295493
120.3,90.3,0.0,11.339111960738977,11.111301310766564,2.261513484269102,0.0, ,131.41130131076656,88.0384865157309,0.0, ,913.777970651699,929.2563275497928,25.821032736933816,[-25.57422971],[-3.56153143], ,939.3522003664175,932.817858976106
150.4,90.3,0.0,13.77205501974361,13.514575097126965,2.650614911857403,0.0, ,163.91457509712697,87.6493850881426,0.0, ,845.0118048990425,949.1235402043726,27.40551099650247,[-27.08887732],[-4.15388475], ,872.100682219314,953.2774249532195
180.5,90.3,0.0,15.32021466897741,15.138226653531348,2.3543728018017305,0.0, ,195.63822665353135,87.94562719819827,0.0, ,786.2054280068743,969.0789161887357,26.863409838867373,[-26.7744409],[-2.18451434], ,812.9798689020238,971.2634305336422
30.1,120.4,0.0,5.389312755729997,5.329742156431614,0.799087307513858,0.0, ,35.429742156431615,119.60091269248615,0.0, ,1188.2329190848377,1045.8051466485601,20.075077884987042,[-19.96259056],[-2.12219934], ,1208.19550964967,1047.927345986315
60.2,120.4,0.0,7.432336007240987,7.400400558918918,0.6882514744506238,0.0, ,67.60040055891892,119.71174852554938,0.0, ,1079.2004888993524,1063.7380186703115,23.35279175038468,[-23.34743211],[-0.50029623], ,1102.5479210111896,1064.2383149025468
90.3,120.4,0.0,9.609988749223653,9.590102066090466,0.6179208057450012,0.0, ,99.89010206609046,119.782079194255,0.0, ,986.7964376356376,1078.7110512377242,25.833632309439214,[-25.82691122],[0.58924955], ,1012.6233488576978,1078.1218016920104
120.3,120.4,0.0,12.220559144726604,12.185692807707355,0.9224730922635302,0.0, ,132.48569280770735,119.47752690773648,0.0, ,907.1126682564332,1089.7090873962163,28.283848543355116,[-28.28185151],[-0.33610078], ,935.3945197638409,1090.0451881793008
150.4,120.4,0.0,13.615358817567019,13.601175403758418,0.6213077878934143,0.0, ,164.00117540375842,119.77869221210659,0.0, ,840.3214556971168,1101.7647679648296,27.64105962415891,[-27.61028469],[1.3039772], ,867.9317403861512,1100.4607907653435
180.5,120.4,0.0,15.368304934334212,15.308985492605956,1.3489847077938606,0.0, ,195.80898549260596,119.05101529220615,0.0, ,781.4211756842819,1107.7945915304688,27.317616151147135,[-27.25729905],[-1.81433207], ,808.6784747311649,1109.6089235977067
30.1,150.6,0.0,4.673006966032427,4.603507434321692,0.8029404752112725,0.0, ,34.70350743432169,151.40294047521127,0.0, ,1188.1535080839371,1255.3538390645922,18.340237312164707,[-17.53846057],[5.36346021], ,1205.6919686568374,1249.9903788569145
60.2,150.6,0.0,7.97269273175477,7.937716391561523,0.7459811539917496,0.0, ,68.13771639156153,151.34598115399174,0.0, ,1074.0049731325942,1254.6069775139042,25.72530732176856,[-25.31975172],[4.54990218], ,1099.3247248477785,1250.0570753302459
90.3,150.6,0.0,10.507369771467397,10.437774020148922,1.2073495842758462,0.0, ,100.73777402014892,151.80734958427584,0.0, ,980.4966831576049,1256.88940795805,29.215364826465503,[-28.41880031],[6.77564245], ,1008.9154834715044,1250.113765504217
120.3,150.6,0.0,12.64435879590703,12.63889852290093,0.3715554971254278,0.0, ,132.93889852290093,150.97155549712542,0.0, ,901.77909971863,1252.109331257087,29.64898944447163,[-29.58499633],[1.94693796], ,931.3640960452971,1250.1623932946727
150.4,150.6,0.0,13.048916594023522,13.046900585464186,0.22936737081960246,0.0, ,163.4469005854642,150.8293673708196,0.0, ,836.9918314434368,1251.335397971906,26.722363392881483,[-26.69843658],[1.13057051], ,863.6902680199207,1250.2048274642957
180.5,150.6,0.0,14.55926166402165,14.54080307919591,0.7329024583784474,0.0, ,195.0408030791959,151.33290245837844,0.0, ,778.0414610752194,1253.595700481693,26.47773508472749,[-26.26449269],[3.3536367], ,804.3059537619995,1250.2420637805749
30.1,180.7,0.0,5.175618404659109,4.589574943449286,2.392243237864534,0.0, ,34.68957494344929,183.09224323786452,0.0, ,1185.388422272108,1468.760893236227,22.31981072830697,[-17.76048925],[13.51809797], ,1203.148911517391,1455.2427952666296
60.2,180.7,0.0,7.535377891436642,7.066272177329793,2.6171964929380067,0.0, ,67.2662721773298,183.317196492938,0.0, ,1073.1077458135112,1451.2101187651472,26.22373627996604,[-22.94794282],[12.69158245], ,1096.0556886287955,1438.5185363174123
90.3,180.7,0.0,9.187191173739045,8.896077853209292,2.294401990163834,0.0, ,99.19607785320929,182.99440199016382,0.0, ,980.5727167250582,1433.6305799653053,26.289579289557498,[-24.58708465],[9.30683875], ,1005.1598013771305,1424.3237412144856
120.3,180.7,0.0,10.412111579344188,10.252433884142178,1.8164985527125168,0.0, ,130.55243388414218,182.5164985527125,0.0, ,902.8643416782828,1418.0107291257157,25.11237819446023,[-24.42193257],[5.84814058], ,927.2862742466332,1412.162588548699
150.4,180.7,0.0,12.91667512503643,12.788645810772437,1.814120892429031,0.0, ,163.18864581077244,182.51412089242902,0.0, ,832.9241162873834,1406.4068219607093,26.918649961383828,[-26.47899931],[4.84523591], ,859.4031156021379,1401.561586049761
180.5,180.7,0.0,14.932051376878634,14.813472743915412,1.8780797605581938,0.0, ,195.3134727439154,182.57807976055818,0.0, ,772.9363364620328,1396.7615925079153,27.325854047931998,[-26.95380078],[4.49387617], ,799.8901372400773,1392.2677163340122
30.1,210.8,0.0,5.110983283442236,4.224465341604365,2.8768112036088667,0.0, ,34.324465341604366,213.67681120360888,0.0, ,1184.0055049843988,1679.252325123211,22.19879104750141,[-16.5512386],[14.79333718], ,1200.5567435819967,1664.4589879454131
60.2,210.8,0.0,6.420255830161477,5.8296321780055536,2.689809211428326,0.0, ,66.02963217800556,213.48980921142834,0.0, ,1073.55999412042,1641.3764052238516,22.12925437976554,[-19.16873802],[11.05727734], ,1092.7287321392853,1630.3191278840866
90.3,210.8,0.0,7.333345756356642,6.911833723632114,2.450411100027054,0.0, ,97.21183372363211,213.25041110002707,0.0, ,981.9706235235105,1609.640764320778,21.057845032174825,[-19.37202648],[8.25575118], ,1001.3426500006689,1601.3850131394884
120.3,210.8,0.0,9.44771932383101,9.124057157674414,2.4517302880578313,0.0, ,129.4240571576744,213.25173028805784,0.0, ,901.1625350164685,1582.9941356557636,22.887374272951323,[-21.9838891],[6.36714386], ,923.1464241210849,1576.6269917948098
150.4,210.8,0.0,10.051682884518794,9.866443549059397,1.9208384898664121,0.0, ,160.2664435490594,212.72083848986642,0.0, ,834.3721186635001,1558.2669288577522,20.92881844214189,[-20.68294706],[3.1986157], ,855.0550657205142,1555.068313153906
180.5,210.8,0.0,11.547793577618675,11.389994987010681,1.902511683843926,0.0, ,191.88999498701068,212.70251168384394,0.0, ,774.4470732004322,1538.5854918871487,21.105306987748573,[-20.96841528],[2.39990497], ,795.4154884757617,1536.1855869122717
30.1,240.9,0.0,3.0563541814831243,2.713912669087698,1.4056951686744412,0.0, ,32.8139126690877,242.30569516867445,0.0, ,1187.1939425818925,1882.640645564637,11.780949640347595,[-10.72008578],[4.88574819], ,1197.9140283595214,1877.7548973774412
60.2,240.9,0.0,3.8862562104175318,3.569757564837616,1.5361699975241834,0.0, ,63.76975756483762,242.4361699975242,0.0, ,1077.475696080803,1829.8842954805837,12.63394037591655,[-11.86660621],[4.33590897], ,1089.3423022871361,1825.5483865140545
90.3,240.9,0.0,5.878826638632461,5.596500629840008,1.799939817686976,0.0, ,95.89650062984,242.69993981768698,0.0, ,981.6763651249256,1784.5922333998496,16.112012654198075,[-15.78614266],[3.22407376], ,997.4625077880488,1781.3681596431622
120.3,240.9,0.0,6.810616396514373,6.590876363861398,1.7160549107658483,0.0, ,126.8908763638614,242.61605491076585,0.0, ,902.9223205760483,1745.4725459090469,16.128442782412716,[-16.02079896],[1.86028685], ,918.9431195395834,1743.6122590613938
150.4,240.9,0.0,7.460042480910102,7.333811846997833,1.3665422093069708,0.0, ,157.73381184699784,242.26654220930698,0.0, ,835.1578001775695,1710.4276644684496,15.490819886490092,[-15.48701138],[-0.34348129], ,850.6448115536068,1710.7711457549367
180.5,240.9,0.0,7.351690337197545,7.250751438361277,1.2140652343040017,0.0, ,187.75075143836128,242.114065234304,0.0, ,777.3989483025947,1681.474152647085,13.493484020534096,[-13.48187554],[-0.5595917], ,790.8808238449776,1682.0337443483338
30.1,271.0,0.0,2.166685032876505,1.357104758844109,1.6890206349283403,0.0, ,31.45710475884411,269.31097936507166,0.0, ,1190.0151669466434,2079.507753263306,16.581118411105106,[-5.20410584],[-15.74327698], ,1195.2192727840616,2095.2510302473406
60.2,271.0,0.0,2.435801812299534,2.1585287994961817,1.1286646492857244,0.0, ,62.358528799496185,269.8713353507143,0.0, ,1078.8886699945406,2012.195714671696,13.984889625320713,[-7.00611996],[-12.10336404], ,1085.8947899526645,2024.2990787067392
90.3,271.0,0.0,2.8140410747536446,2.70790023837678,0.7655739477017391,0.0, ,93.00790023837678,270.23442605229826,0.0, ,986.0065322130175,1954.7469102247112,12.188674129123191,[-7.51127034],[-9.59919762], ,993.5178025498732,1964.346107844962
120.3,271.0,0.0,3.601731632077511,3.5356390470167725,0.6868240522273936,0.0, ,123.83563904701677,270.3131759477726,0.0, ,906.2203310320798,1903.7609427772036,12.654559495181148,[-8.45455928],[-9.41585383], ,914.6748903168105,1913.1767966056173
150.4,271.0,0.0,3.2564142387757933,3.198694961790693,0.6103967856374766,0.0, ,153.5986949617907,270.3896032143625,0.0, ,839.5196055503088,1861.1391393247332,10.08332672074372,[-6.65140307],[-7.57841111], ,846.1710086191536,1868.7175504361091
180.5,271.0,0.0,4.783495333841326,4.689175356456616,0.9452312337633089,0.0, ,185.18917535645662,270.0547687662367,0.0, ,777.7728187036494,1819.6065950428074,13.319522677642867,[-8.51210906],[-10.24469052], ,786.2849277587617,1829.8512855600518
0.0,0.0,30.2,0.39032406585874996,0.3009386708582156,0.0,0.24857351582700105, ,-0.3009386708582156,0.0,29.951426484173, ,1486.7838561238743,278.1501654759501,1.5163931325379094,[0.23325967],[-1.49834511], ,1486.5505964564638,279.64851058304913
0.0,0.0,60.3,3.5179903193139492,2.7236640915209307,0.0,2.2266364326818433, ,-2.7236640915209307,0.0,58.073363567318154, ,1613.6244106232914,343.8321769648719,12.156895762024657,[3.66830187],[-11.59024055], ,1609.956108756872,355.4224175139527
0.0,0.0,90.5,4.94769444138189,4.237483212291465,0.0,2.5540979446429333, ,-4.237483212291465,0.0,87.94590205535707, ,1725.9510068223244,406.61765095503154,17.14291515800785,[10.29778452],[-13.7052973], ,1715.6532222981266,420.3229482523486
